"","description","enrichmentScore","normalizedEnrichmentScore","pValue","FDR","size","userId","database"
"1","Citrate cycle (TCA cycle)",0.698532985672676,2.091528638259,0,0.000670866321559074,23,"ACLY;ACO1;CS;DLAT;DLD;IDH1;IDH2;IDH3A;MDH1;MDH2;OGDH;PCK1;PDHA1;PDHB;SDHA;SDHB;SDHC;SUCLA2;SUCLG1","pathway_KEGG"
"2","Peroxisome",0.615880895249544,2.09258607659628,0,0.000894488428745432,51,"ABCD3;ACSL1;AGXT;DECR2;DHRS4;ECH1;EHHADH;EPHX2;GSTK1;HACL1;HMGCL;HSD17B4;IDH1;IDH2;NUDT12;NUDT7;PEX11G;PEX16;PEX19;PEX3;PRDX1;PRDX5;SCP2;SLC27A2;SOD2;XDH","pathway_KEGG"
"3","peroxisome organization",0.606593990908646,2.05166889834394,0,0.00119265123832724,48,"ABCD3;ACOT2;ACOT4;AGXT;DECR2;DHRS4;DNM1L;ECH1;EHHADH;EPHX2;GSTK1;HACL1;HMGCL;HSD17B4;IDH1;LONP2;NUDT7;PEX11G;PEX16;PEX19;PEX3;SCP2;SLC27A2","geneontology_Biological_Process_noRedundant"
"4","Carbon metabolism",0.572307981630175,2.06421795064912,0,0.00125228380024361,76,"ACAT1;ACAT2;ACO1;AGXT;ALDOA;ALDOB;CPS1;CS;DLAT;DLD;EHHADH;ENO1;FBP1;GAPDH;GLDC;GLUD1;GOT1;GOT2;HADHA;IDH1;IDH2;IDH3A;ME1;OGDH;PCCA;PCCB;PDHA1;PDHB;PGK1;PKLR;RGN;SDHA;SDHB;SDHC;SDS;SHMT1;SUCLA2;SUCLG1;TALDO1;TPI1","pathway_KEGG"
"5","dicarboxylic acid metabolic process",0.605477793204785,2.09667937867949,0,0.00134173264311815,60,"ACLY;ACOT4;ALDH1L1;ALDH4A1;AMDHD1;ASL;ASS1;CPOX;DLD;FTCD;GCLC;GLS2;GLUD1;GLUL;GOT1;GOT2;HAAO;HAL;IDH1;IDH2;KYNU;MDH1;MDH2;ME1;NAGS;OAT;OGDH;PCK1;PRODH;SDHA;SDHB;SHMT1;SUCLA2;SUCLG1;UROC1","geneontology_Biological_Process_noRedundant"
"6","Biosynthesis of amino acids",0.639357104854029,2.14106591771694,0,0.00178897685749086,44,"ACO1;ALDOA;ALDOB;ARG1;ASL;ASS1;CPS1;CS;CTH;ENO1;GAPDH;GLUL;GOT1;GOT2;IDH1;IDH2;IDH3A;MAT1A;NAGS;OTC;PAH;PGK1;PKLR;SDS;SHMT1;TALDO1;TPI1","pathway_KEGG"
"7","Chemical carcinogenesis",0.686360912826433,2.02772377146534,0,0.00230011310248825,22,"CYP1A2;CYP2E1;EPHX1;GSTA3;GSTM2;GSTM3;GSTM4;GSTT1;HSD11B1;MGST1;UGT1A1;UGT2A3","pathway_KEGG"
"8","benzene-containing compound metabolic process",0.749475291594388,2.02194597200835,0,0.00245984317904994,15,"ACSM1;CYP2E1;GOT2;GSTM2;GSTM3;GSTM4;HAAO;KYNU;PON3;TDO2;UGT1A1","geneontology_Biological_Process_noRedundant"
"9","Gluconeogenesis",0.685196561661431,1.98144978671583,0,0.00249178919436228,19,"ALDOA;ALDOB;ENO1;FBP1;GAPDH;GOT1;GOT2;MDH1;MDH2;PCK1;PGK1;SLC25A10;SLC25A11;TPI1","pathway_Reactome"
"10","peroxisomal transport",0.607358670954476,2.00026325349705,0,0.0025208310264644,40,"ACOT2;ACOT4;AGXT;DECR2;DHRS4;ECH1;EHHADH;EPHX2;GSTK1;HACL1;HMGCL;HSD17B4;IDH1;LONP2;NUDT7;PEX16;PEX19;PEX3;SCP2;SLC27A2","geneontology_Biological_Process_noRedundant"
"11","Drug metabolism",0.663193427938662,2.00847566044713,0,0.00258407768304236,25,"AOX1;CYP1A2;CYP2E1;FMO1;FMO5;GSTA3;GSTK1;GSTM2;GSTM3;GSTM4;GSTT1;MAOA;MGST1;UGT1A1;UGT2A3","pathway_KEGG"
"12","Metabolism of xenobiotics by cytochrome P450",0.678819329859281,2.00405061311394,0,0.0026834652862363,22,"CYP1A2;CYP2E1;EPHX1;GSTA3;GSTM2;GSTM3;GSTM4;GSTT1;HSD11B1;MGST1;UGT1A1;UGT2A3","pathway_KEGG"
"13","organic acid biosynthetic process",0.528872805502439,1.98714499406676,0,0.0026834652862363,155,"AASS;ABCD3;ACACA;ACACB;ACLY;ACOT12;ACSM1;AGXT;AGXT2;AKR1A1;ALDOA;ALDOB;AMACR;APOC1;ASL;ASPG;ASS1;CLTC;CPS1;CSAD;CTH;CYP1A2;CYP27A1;CYP2E1;CYP7A1;CYP8B1;DECR2;DPYD;ELOVL2;ENO1;ENTPD5;EPHX2;FABP5;FASN;FBP1;GALK1;GAPDH;GLS2;GLUD1;GLUL;GOT1;GOT2;GPD1;GSTM4;HAAO;HPGD;HSD17B12;HSD17B4;HSD3B7;KYNU;LTA4H;MGLL;MGST1;NAGS;OAT;OGDH;OTC;PAH;PARK7;PGK1;PKLR;PRKAG1;RGN;SCP2;SDS;SHMT1;SLC27A2;SLC27A5;SUCLA2;TECR;THNSL2;TPI1;UGDH","geneontology_Biological_Process_noRedundant"
